text,x1,y1,size,px,textName,imgNo,textAlign,textBaseline
Learn to drive,200,30,0,45,Arial,1,left,top
Such a long skirt，running for the moon？Put on your pants，OK？,71,427,20,24,方正兰亭黑_GBK Regular,1,left,top
You can use a pestle，but nota gearshift？,105,335,14,24,方正兰亭黑_GBK Regular,2,left,top
Step on the clutch，not the accelerator！,83,365,19,24,方正兰亭黑_GBK Regular,3,left,top
To the moon？,226,445,0,23,方正兰亭黑_GBK Regular,3,left,top
I will！,536,395,0,23,方正兰亭黑_GBK Regular,3,left,top
Learn to drive II,185,31,0,45,方正兰亭黑_GBK Regular,5,left,top
Sir…,211,130,0,24,方正兰亭黑_GBK Regular,5,left,top
Yes？,292,223,0,24,方正兰亭黑_GBK Regular,5,left,top
I want……,223,393,0,24,方正兰亭黑_GBK Regular,5,left,top
You want？,279,491,0,24,方正兰亭黑_GBK Regular,5,left,top
Put my head out！！,281,80,0,32,方正兰亭黑_GBK Regular,6,left,top
No！Stop！！！,120,222,0,32,方正兰亭黑_GBK Regular,6,left,top
A good day，right？,249,87,0,24,方正兰亭黑_GBK Regular,8,left,top
…,110,138,0,40,方正兰亭黑_GBK Regular,8,left,top
